Tarih,UykuSaati,GunlukAdimsayisi
06.09.2023,7.44,9158
07.09.2023,8.10,7706
08.09.2023,10.30,20413
09.09.2023,8.40,16845
10.09.2023,10.40,15000
11.09.2023,9.40,13263
12.09.2023,7.40,22508
13.09.2023,8.20,9907
14.09.2023,9.40,9595
15.09.2023,8.50,20011
16.09.2023,8.52,15318
17.09.2023,8.30,29682
18.09.2023,9.37,24157
19.09.2023,6.02,23389
20.09.2023,9.28,2442
21.09.2023,10.10,9255
22.09.2023,3.50,11559
23.09.2023,9.50,15895
24.09.2023,7.50,22134
25.09.2023,10,8508
26.09.2023,8.55,15460
27.09.2023,6.53,4094
28.09.2023,7.20,11172
29.09.2023,7.02,12489
30.09.2023,9.38,2084
01.10.2023,8.30,8944
02.10.2023,9.40,9768
03.10.2023,9.50,7816
04.10.2023,8.20,4617
05.10.2023,10.40,9053
06.10.2023,9.24,1401
07.10.2023,8.10,3713
08.10.2023,9.51,3033
09.10.2023,10.45,425
10.10.2023,10,6576
11.10.2023,11.30,6899
12.10.2023,8.40,9876
13.10.2023,7.50,959
14.10.2023,10.26,15215
15.10.2023,9.53,5072
16.10.2023,7.20,3890
17.10.2023,8.10,4011
18.10.2023,7.20,6352
19.10.2023,7.40,5560
20.10.2023,10.22,1166
21.10.2023,7.03,1368
22.10.2023,9.10,1325
23.10.2023,6.50,600